"case_id","case_type","company","platform","agency","url","posting_id","title","salary_min_man_yen","salary_max_man_yen","salary_type","employment_type","required_experience_summary","notes"
"1","exact_match_repost","NHNテコラス","Geekly","(direct)","https://www.geekly.biz/open-detail/429806","429806","データエンジニア（クラウドデータ活用領域／機械学習モデルやAIの導入支援／福利厚生充実）","600","800","月給+賞与制不明(予定年収表記)","正社員","AWS/GCP実務経験2年以上が必須","4ソース中の基準版"
"1","exact_match_repost","NHNテコラス","OpenWork","ギークリー","https://www.openwork.jp/a0C1000000tgS3N/recruit_agent?j=00a2bad0fc075fe0e4","00a2bad0fc075fe0e4/429806_20260708","データエンジニア（クラウドデータ活用領域／機械学習モデルやAIの導入支援／福利厚生充実）","600","800","","正社員","Geeklyと必須要件同一文言","job codeにGeekly ID(429806)が残る"
"1","exact_match_repost","NHNテコラス","mid-tenshoku","ギークリー","https://mid-tenshoku.com/job/j-43789616/","43789616 / GKL-42980620260626","データエンジニア（クラウドデータ活用領域／機械学習モデルやAIの導入支援／福利厚生充実）","600","800","","正社員","Geeklyと必須要件同一文言","求人NoにGKL(Geekly)コード"
"1","exact_match_repost","NHNテコラス","自社(recruit.nhn-japan.com)","(自社)","https://recruit.nhn-japan.com/recruits/techorus/4017653257910517853?type=list&jobGroupId=10000001","4017653257910517853","データエンジニア（クラウドデータ活用領域）","","","給与情報記載なし","","MUST/WANT他ソースと同一","福利厚生テキストが突出して詳細"
"1","exact_match_repost","NHNテコラス","doda","(direct)","https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015220094/","3015220094","データエンジニア（クラウドデータ活用領域）◆マーケ・データ分析経験歓迎◆AWS最上位パートナー","500","650","年俸制","正社員","AWS/GCP経験が必須から歓迎へ格下げ","4ソースと別要件＝別公募と判定(除外)"
"2_3","coverage_gap_and_comp_structure","hokan","Geekly","(direct)","https://www.geekly.biz/open-detail/422113","422113","【リモート可】データ移行エンジニア（SaaS導入 / 大手企業担当）","600","900","月給+賞与制","正社員","Webバックエンド開発経験+DB基礎+SIer上流orCRM/SFA導入経験のいずれか","歓迎4項目フル記載"
"2_3","coverage_gap_and_comp_structure","hokan","OpenWork","ギークリー","https://www.openwork.jp/a0C1000001WWser/recruit_agent?j=b437f0f7686fb04135","b437f0f7686fb04135/422113_20260708","【リモート可】データ移行エンジニア（SaaS導入 / 大手企業担当）","600","900","","正社員","Geeklyと必須要件同一","job codeにGeekly ID(422113)"
"2_3","coverage_gap_and_comp_structure","hokan","doda","(direct)","https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3015323769/","3015323769","【基本リモート】データ基盤構築エンジア◆大手企業担当◆自社SaaSのためダイレクトな手応え◎","600","960","年俸制","正社員","必須要件同一、歓迎は4項目中1項目のみ記載","賞与に関する記載なし"
"2_3","coverage_gap_and_comp_structure","hokan","mid-tenshoku","ワークポート","https://mid-tenshoku.com/job/j-43716070/","43716070 / WORKP-408506643","【東京：リモート】データ移行エンジニア（SaaS導入／大手企業担当）","600","960","年俸制","正社員","必須要件同一、歓迎4項目フル記載","賞与:なし と明記／Geekly系列でない別エージェント"
"2_3","coverage_gap_and_comp_structure","hokan","talentio(自社)","(自社)","https://open.talentio.com/r/1/c/hokan/pages/121177","121177","データ移行エンジニア（SaaS導入 / 大手企業担当）","600","960","","","必須要件同一、歓迎4項目フル記載+開発環境詳細(Slack/notion/GitHub含む)","採用背景ストーリー・魅力ポイント最も詳細"
"4","blended_tier","ニジボックス","hrmos","(自社)","https://hrmos.co/pages/nijibox/jobs/01_02_02_01_01","01_02_02_01_01","データマネジメント（BIエンジニア／プロダクトグロースエンジニア）","","","","正社員","SQLデータ抽出・加工経験2年以上+いずれか","ミドル層 tier"
"4","blended_tier","ニジボックス","hrmos","(自社)","https://hrmos.co/pages/nijibox/jobs/01_02_03_01_01","01_02_03_01_01","【エキスパート／リード経験者歓迎】データ利活用を推進するBIエンジニア","","","","正社員","SQL大規模データ抽出5年以上+技術リード経験","エキスパート/リード tier"
"4","blended_tier","ニジボックス","hrmos","(自社)","https://hrmos.co/pages/nijibox/jobs/01_03_02_01_01","01_03_02_01_01","【経験者歓迎】アクセスログ活用を推進するアナリティクスエンジニア／BIエンジニア","","","","正社員","Google/Adobe Analytics経験2年以上","ミドル層 tier"
"4","blended_tier","ニジボックス","hrmos","(自社)","https://hrmos.co/pages/nijibox/jobs/01_03_03_01_01","01_03_03_01_01","【エキスパート／リード経験者歓迎】アクセスログ活用を推進するアナリティクスエンジニア／BIエンジニア","","","","正社員","Adobe Analytics高度実装経験5年以上","エキスパート/リード tier"
"4","blended_tier","ニジボックス","hrmos","(自社)","https://hrmos.co/pages/nijibox/jobs/01_04_02_01_01","01_04_02_01_01","データパイプラインやデータアプリケーションにおけるITエンジニア（プロダクトグロースエンジニア）","","","","正社員","実務経験3年以上+3名以上チーム開発","ミドル層 tier"
"4","blended_tier","ニジボックス","hrmos","(自社)","https://hrmos.co/pages/nijibox/jobs/01_04_03_01_01","01_04_03_01_01","【エキスパート／リード経験者歓迎】データパイプラインのITエンジニア（プロダクトグロースエンジニア）","","","","正社員","実務経験7年以上+PL/テックリード経験","エキスパート/リード tier"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=75455139eab1e326","75455139eab1e326","Adobe Analytics活用エンジニア（上位tier）","660","1640","","","5年以上相当","OpenWork上7件中の1件・エキスパート寄り"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=0255d95f984c550b","0255d95f984c550b","Adobe Analytics活用エンジニア（下位tier）","485","1640","","","2年以上相当","OpenWork上7件中の1件・ミドル寄り"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=130376d885849082","130376d885849082","プロダクトグロースエンジニア（上位tier）","660","1640","","","7年以上相当","OpenWork上7件中の1件・エキスパート寄り"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=dc2440b9d4a2c970","dc2440b9d4a2c970","プロダクトグロースエンジニア（下位tier）","485","1640","","","3年以上相当","OpenWork上7件中の1件・ミドル寄り"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=7cb0e41f8e5f3f56","7cb0e41f8e5f3f56","SQL/BIダッシュボードエンジニア（上位tier）","660","1640","","","5年以上相当","OpenWork上7件中の1件・エキスパート寄り"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=e751afe52d2590a7","e751afe52d2590a7","SQL/BIダッシュボードエンジニア（下位tier）","485","1640","","","2年以上相当","OpenWork上7件中の1件・ミドル寄り"
"4","blended_tier","ニジボックス","OpenWork","(自社)","https://www.openwork.jp/a0C1000000QoXwG/recruit?j=6d70ace7ebd6eca4","6d70ace7ebd6eca4","PM/ディレクター系上流工程職","715","1640","","","PM/ディレクター/システム企画上流経験","BI/PGE系とは別役割・比較対象外"
"4","blended_tier","ニジボックス","Geekly","(direct)","https://www.geekly.biz/open-detail/307819","307819","【リモート・副業可】BIエンジニア（リクルートグループの膨大なデータを活かせる！／スキルアップ）","512","800","月給制","正社員","SQL3年以上+GitHubチーム開発経験(だがテックリード経験は不要)","ミドル/エキスパート要件が混在する境界事例"
"5","negative_control","ビズリーチ","Geekly","(direct)","https://www.geekly.biz/open-detail/446311","446311","データエンジニア／ビズリーチプロダクト本部","600","900","月給+賞与制","正社員","具体スタックの明記なし、WILL・協働力中心","採用プラットフォーム自社データ基盤"
"5","negative_control","Ascent Business Consulting","Geekly","(direct)","https://www.geekly.biz/open-detail/452433","452433","【リモート可】データエンジニア（メンバー／平均残業20h／経営陣直下で学ぶ／）","600","900","月給+賞与制","正社員","RDB/DWH実務+Python/Java/Scala+2〜5名チームリーダー経験必須","AIコンサルティングファーム"
"5","negative_control","ABEJA","Geekly","(direct)","https://www.geekly.biz/open-detail/450775","450775","【テレワーク/フレックス】データエンジニア（データ基盤構築・DX推進）","600","1000","月給+賞与制","正社員","5項目中2つ以上該当(Python等3年/データ基盤3年/ETL/クラウド/GitHub)","コンピュータビジョン/AIベンチャー"
